age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,jail_time,sex,race,c_charge_degree,decile_score,two_year_recid,compas_score,compas_class
39,0,0,0,1,4.0,1,2,2,4,0,0.4,0
29,0,0,0,5,1.0,1,2,1,6,1,0.6,0
27,0,0,1,1,14.0,1,3,1,6,1,0.6,0
40,0,0,0,2,3.0,1,2,1,2,0,0.2,0
22,0,0,0,1,16.0,1,2,2,3,1,0.3,0
22,0,0,0,0,57.0,1,3,1,8,0,0.8,1
26,0,0,0,1,2.0,2,2,1,4,1,0.4,0
27,0,0,0,1,19.0,1,3,1,7,1,0.7,1
32,0,0,0,0,1.0,1,2,1,2,0,0.2,0
41,0,0,0,1,1.0,1,2,2,2,0,0.2,0
30,0,0,0,8,1.0,1,2,2,10,1,1.0,1
50,0,0,0,0,0.0,1,1,1,1,1,0.1,0
25,1,6,1,14,7.0,1,2,1,10,1,1.0,1
20,0,0,0,0,1.0,1,1,1,5,1,0.5,0
22,1,0,0,2,30.0,1,2,1,9,1,0.9,1
23,0,0,1,2,0.0,1,2,2,7,1,0.7,1
35,0,0,0,1,0.0,2,2,2,2,0,0.2,0
36,0,0,0,9,3.0,1,2,1,7,1,0.7,1
26,0,0,0,7,0.0,1,3,1,8,1,0.8,1
21,0,0,0,1,3.0,1,1,1,6,1,0.6,0
25,0,0,0,9,0.0,1,3,1,8,1,0.8,1
71,0,0,0,12,0.0,1,2,2,7,0,0.7,1
20,0,0,0,0,0.0,2,3,1,7,0,0.7,1
39,0,0,0,2,-1.0,1,3,1,1,1,0.1,0
66,0,0,0,3,30.0,1,3,1,1,0,0.1,0
54,0,0,0,0,0.0,2,3,2,1,0,0.1,0
44,0,0,0,0,1.0,2,4,2,1,0,0.1,0
19,0,0,0,1,9.0,1,2,2,4,1,0.4,0
24,0,0,0,1,137.0,1,2,1,2,0,0.2,0
30,0,0,0,1,0.0,1,2,1,2,0,0.2,0
39,0,0,0,0,1.0,2,3,1,1,1,0.1,0
24,0,1,2,8,12.0,1,3,1,6,1,0.6,0
30,0,0,0,0,5.0,1,3,1,4,0,0.4,0
31,0,0,0,0,38.0,1,3,2,5,0,0.5,0
39,0,0,0,1,106.0,2,3,1,4,0,0.4,0
59,0,0,0,14,109.0,1,2,1,9,1,0.9,1
43,0,0,0,1,1.0,1,3,1,1,0,0.1,0
21,0,0,0,3,6.0,1,2,1,9,1,0.9,1
38,0,0,0,5,2.0,1,3,2,4,1,0.4,0
34,0,0,0,0,14.0,1,3,1,5,0,0.5,0
33,0,0,0,5,0.0,1,2,1,5,1,0.5,0
37,0,0,0,3,1.0,1,2,1,2,0,0.2,0
42,0,0,0,1,0.0,1,3,1,2,1,0.2,0
41,0,1,0,10,176.0,1,2,1,9,1,0.9,1
22,0,0,0,0,0.0,1,2,1,4,1,0.4,0
33,0,12,2,28,1.0,1,2,1,8,1,0.8,1
31,0,0,0,1,1.0,1,2,2,7,0,0.7,1
30,0,0,0,1,1.0,2,1,1,2,0,0.2,0
31,0,0,0,13,471.0,1,3,1,10,1,1.0,1
27,0,0,0,3,0.0,1,2,1,9,1,0.9,1
56,0,0,0,8,79.0,1,2,1,9,0,0.9,1
52,0,0,0,3,0.0,1,3,2,9,0,0.9,1
33,0,0,0,19,0.0,1,2,1,10,1,1.0,1
64,0,0,0,2,-1.0,2,3,2,1,0,0.1,0
22,0,0,0,4,14.0,1,3,1,6,1,0.6,0
42,0,0,0,6,-1.0,1,3,1,3,0,0.3,0
25,0,0,0,2,3.0,2,3,1,4,0,0.4,0
30,0,0,0,1,3.0,1,3,2,2,0,0.2,0
28,0,0,0,2,0.0,1,3,1,1,0,0.1,0
37,0,0,0,2,1.0,2,1,2,2,0,0.2,0
28,0,0,0,0,0.0,1,3,2,2,1,0.2,0
24,0,0,0,0,2.0,2,2,2,2,0,0.2,0
29,0,1,0,10,7.0,2,3,1,4,1,0.4,0
44,0,0,0,2,-1.0,1,3,2,2,1,0.2,0
30,0,0,0,4,0.0,2,4,1,5,1,0.5,0
32,0,0,0,3,8.0,1,2,1,7,1,0.7,1
31,0,0,0,2,15.0,1,3,2,3,1,0.3,0
31,0,0,0,1,1.0,1,2,2,2,0,0.2,0
59,0,0,0,1,0.0,1,3,1,2,1,0.2,0
45,0,0,0,4,0.0,2,3,1,4,0,0.4,0
20,1,0,0,1,2.0,2,2,1,10,0,1.0,1
43,0,0,0,0,0.0,2,3,2,1,0,0.1,0
38,1,1,0,9,13.0,1,2,1,8,1,0.8,1
32,0,0,0,11,1.0,1,2,1,6,1,0.6,0
33,0,0,0,8,0.0,1,2,2,5,1,0.5,0
31,0,0,0,0,1.0,2,2,1,3,1,0.3,0
33,0,0,0,7,26.0,2,2,1,9,1,0.9,1
27,0,0,0,2,1.0,1,2,1,9,1,0.9,1
20,0,0,0,0,0.0,2,2,1,6,0,0.6,0
26,0,0,0,0,0.0,2,3,2,6,0,0.6,0
61,0,0,0,1,0.0,2,2,1,1,1,0.1,0
52,0,0,0,13,1.0,1,1,1,7,1,0.7,1
63,0,0,0,1,14.0,1,4,1,1,0,0.1,0
32,0,0,0,4,6.0,2,2,1,10,1,1.0,1
29,0,0,0,1,0.0,1,4,1,4,0,0.4,0
46,0,0,0,1,0.0,2,1,1,2,0,0.2,0
26,0,0,0,2,0.0,2,2,2,4,1,0.4,0
55,0,0,0,3,1.0,1,2,2,1,0,0.1,0
39,1,0,0,1,3.0,1,3,2,4,0,0.4,0
30,0,0,0,3,530.0,2,3,1,7,1,0.7,1
30,0,0,0,1,70.0,1,2,1,7,0,0.7,1
48,0,0,0,2,0.0,1,3,2,2,0,0.2,0
22,0,0,0,1,0.0,1,2,1,2,0,0.2,0
46,0,0,0,6,22.0,1,3,1,1,1,0.1,0
49,0,0,0,6,5.0,2,3,1,6,0,0.6,0
31,0,0,0,0,2.0,1,3,1,5,0,0.5,0
25,0,0,0,1,1.0,1,2,2,2,1,0.2,0
23,0,0,0,0,0.0,1,4,1,3,0,0.3,0
32,0,0,0,5,1.0,2,2,1,7,0,0.7,1
52,0,0,0,2,3.0,1,4,2,1,0,0.1,0
62,0,0,0,8,15.0,1,2,1,4,0,0.4,0
37,0,0,0,6,105.0,2,3,1,10,0,1.0,1
55,0,0,0,1,18.0,1,3,1,1,0,0.1,0
31,0,0,0,8,117.0,1,4,1,9,1,0.9,1
28,0,0,0,6,0.0,1,2,2,6,1,0.6,0
54,0,0,0,2,188.0,1,4,1,1,0,0.1,0
58,0,0,0,0,0.0,1,4,1,2,0,0.2,0
78,0,0,0,1,0.0,1,3,2,1,1,0.1,0
56,0,0,0,0,1.0,1,3,1,1,0,0.1,0
24,0,0,0,0,1.0,1,1,1,2,0,0.2,0
38,2,2,1,22,33.0,1,2,1,8,1,0.8,1
22,0,0,0,1,0.0,1,2,1,5,1,0.5,0
47,0,0,0,23,0.0,1,2,2,8,1,0.8,1
23,0,0,0,0,1.0,1,2,2,2,1,0.2,0
57,0,0,0,1,19.0,1,4,1,1,0,0.1,0
38,0,0,0,2,0.0,2,3,1,5,1,0.5,0
66,0,0,0,3,2.0,1,2,1,1,0,0.1,0
45,0,0,0,8,71.0,1,3,2,4,1,0.4,0
52,0,0,0,0,0.0,2,1,2,3,1,0.3,0
32,0,0,0,13,97.0,1,2,1,10,1,1.0,1
37,0,0,0,2,0.0,1,2,2,9,1,0.9,1
39,0,0,0,0,0.0,1,3,1,4,1,0.4,0
26,0,0,0,9,79.0,1,2,1,9,1,0.9,1
45,0,0,0,2,358.0,1,3,1,3,0,0.3,0
23,0,0,0,0,0.0,1,2,1,3,1,0.3,0
34,0,0,0,2,25.0,1,2,2,2,0,0.2,0
23,0,0,0,1,0.0,2,2,2,4,0,0.4,0
36,0,0,0,2,2.0,1,1,2,3,1,0.3,0
50,0,0,0,1,1.0,1,3,1,1,0,0.1,0
37,0,0,0,0,0.0,2,3,2,3,0,0.3,0
44,0,0,0,4,1.0,1,3,2,4,0,0.4,0
35,0,1,0,23,2.0,2,2,1,9,1,0.9,1
24,0,0,0,5,0.0,1,1,1,5,1,0.5,0
26,0,0,0,2,1.0,1,2,1,10,1,1.0,1
27,0,0,0,0,2.0,1,2,2,2,0,0.2,0
28,0,0,0,0,29.0,2,2,1,8,0,0.8,1
43,0,0,0,11,121.0,1,3,1,5,1,0.5,0
28,0,0,0,7,1.0,2,3,1,9,1,0.9,1
38,0,0,0,2,1.0,1,2,1,1,0,0.1,0
27,0,0,0,2,36.0,1,3,2,4,0,0.4,0
28,0,0,0,1,38.0,2,2,1,9,0,0.9,1
56,0,0,0,7,0.0,1,3,1,1,1,0.1,0
38,0,0,0,15,1.0,1,2,1,9,0,0.9,1
28,0,0,0,2,0.0,1,2,2,5,0,0.5,0
45,0,0,0,3,218.0,1,2,1,6,0,0.6,0
28,0,0,0,0,0.0,1,4,2,2,0,0.2,0
61,0,0,0,1,0.0,1,3,1,1,0,0.1,0
51,0,0,0,0,0.0,2,3,2,1,1,0.1,0
51,0,0,0,0,0.0,1,3,2,2,0,0.2,0
36,0,0,0,1,1.0,1,1,2,1,1,0.1,0
48,0,0,0,0,1.0,1,2,1,1,0,0.1,0
37,0,0,0,4,1.0,1,3,1,3,1,0.3,0
30,0,0,0,2,2.0,2,2,1,7,0,0.7,1
41,0,0,0,5,0.0,2,2,2,6,0,0.6,0
27,0,0,0,11,223.0,1,2,1,10,1,1.0,1
37,0,0,0,0,1.0,1,2,2,1,0,0.1,0
33,0,0,0,4,2.0,1,1,1,4,1,0.4,0
54,0,0,0,11,129.0,1,2,1,9,0,0.9,1
23,0,0,0,2,71.0,1,2,1,9,0,0.9,1
26,0,0,0,2,226.0,2,2,1,4,1,0.4,0
41,0,0,0,0,0.0,1,2,2,1,0,0.1,0
52,0,0,0,0,0.0,1,3,1,1,0,0.1,0
43,0,0,0,13,51.0,1,3,1,4,1,0.4,0
52,0,0,0,0,13.0,1,2,1,4,0,0.4,0
28,0,0,0,1,3.0,1,3,1,1,0,0.1,0
30,0,0,2,11,1.0,1,2,2,9,1,0.9,1
28,0,0,0,1,6.0,1,3,1,5,0,0.5,0
22,0,0,0,0,0.0,1,2,1,4,0,0.4,0
30,0,0,0,4,-1.0,1,2,1,2,0,0.2,0
25,0,0,0,4,1.0,1,4,1,4,0,0.4,0
31,0,0,0,0,30.0,1,3,1,8,1,0.8,1
37,0,0,0,0,35.0,1,3,1,2,1,0.2,0
32,0,1,0,14,1.0,1,2,1,9,0,0.9,1
26,0,1,0,4,75.0,1,2,2,8,0,0.8,1
53,0,0,0,1,1.0,1,3,2,1,0,0.1,0
28,0,0,0,25,25.0,1,2,1,8,1,0.8,1
44,0,0,0,8,4.0,1,3,2,5,1,0.5,0
25,0,0,0,0,0.0,1,2,1,3,0,0.3,0
22,0,0,1,1,5.0,1,3,2,8,1,0.8,1
37,0,0,0,0,1.0,2,1,2,1,0,0.1,0
40,0,0,0,3,1.0,2,1,1,2,0,0.2,0
36,0,0,0,8,22.0,1,3,1,7,1,0.7,1
30,0,0,0,4,62.0,1,3,1,2,0,0.2,0
22,0,0,0,3,0.0,1,2,2,9,1,0.9,1
24,0,0,0,1,29.0,2,3,2,7,1,0.7,1
27,0,0,0,3,6.0,1,2,2,2,1,0.2,0
31,0,0,0,0,0.0,2,4,2,2,0,0.2,0
23,0,0,1,1,1.0,1,4,1,6,1,0.6,0
23,0,0,4,5,0.0,2,3,1,5,1,0.5,0
24,0,0,0,0,0.0,1,4,2,8,0,0.8,1
29,0,0,0,1,0.0,1,2,2,3,0,0.3,0
20,0,0,0,1,1.0,1,2,1,8,1,0.8,1
30,0,0,0,2,1.0,1,2,1,6,1,0.6,0
39,0,0,0,0,0.0,1,1,1,1,0,0.1,0
27,0,0,0,4,0.0,1,2,1,4,0,0.4,0
31,0,0,0,2,10.0,1,3,2,4,0,0.4,0
37,0,0,0,2,0.0,2,2,1,1,0,0.1,0
20,0,0,0,0,2.0,1,2,1,8,0,0.8,1
22,0,0,1,0,2.0,1,4,1,7,0,0.7,1
52,0,0,0,0,0.0,2,2,1,1,0,0.1,0
23,0,0,0,0,3.0,2,2,1,4,1,0.4,0
48,0,0,0,0,1.0,2,2,1,2,0,0.2,0
66,0,0,0,8,0.0,1,2,1,6,1,0.6,0
25,0,0,0,0,0.0,1,3,1,5,0,0.5,0
27,0,0,0,0,1.0,1,3,1,6,1,0.6,0
30,0,0,0,11,1.0,1,2,1,7,1,0.7,1
22,0,1,1,3,1.0,1,2,2,10,1,1.0,1
22,0,0,0,1,0.0,2,3,1,3,0,0.3,0
35,0,0,0,2,0.0,1,2,1,10,0,1.0,1
32,0,0,0,2,40.0,1,3,1,4,0,0.4,0
41,0,0,0,2,0.0,2,2,2,3,0,0.3,0
25,0,0,0,0,0.0,2,1,1,2,0,0.2,0
44,0,0,0,24,117.0,1,2,2,7,0,0.7,1
52,0,0,0,3,24.0,1,2,1,6,1,0.6,0
43,0,0,0,0,41.0,1,2,1,1,0,0.1,0
37,0,0,0,3,2.0,1,3,1,1,0,0.1,0
28,0,0,0,3,2.0,1,2,2,4,1,0.4,0
70,0,0,0,1,12.0,1,3,2,1,0,0.1,0
54,0,0,0,6,0.0,1,3,1,2,1,0.2,0
46,0,0,0,3,14.0,1,3,1,4,0,0.4,0
21,0,0,0,0,1.0,1,2,2,9,1,0.9,1
26,0,0,0,1,1.0,1,2,2,8,1,0.8,1
38,0,0,0,3,1.0,1,4,1,1,1,0.1,0
34,0,0,0,5,1.0,1,3,2,4,0,0.4,0
19,0,0,0,1,48.0,1,2,1,5,1,0.5,0
34,0,0,0,5,0.0,1,2,2,4,0,0.4,0
23,0,0,0,0,0.0,1,3,1,5,1,0.5,0
34,0,0,0,5,2.0,1,2,1,4,1,0.4,0
30,0,0,0,2,83.0,1,2,1,1,0,0.1,0
39,0,0,0,6,2.0,1,2,1,3,1,0.3,0
24,0,0,0,0,1.0,1,1,1,3,0,0.3,0
33,0,0,0,1,0.0,1,3,2,3,1,0.3,0
58,0,0,0,2,1.0,1,3,1,3,0,0.3,0
21,0,0,0,0,0.0,2,2,2,6,0,0.6,0
21,0,0,0,1,36.0,1,2,1,5,0,0.5,0
23,0,0,1,4,11.0,1,2,2,8,1,0.8,1
62,0,0,0,0,1.0,1,3,1,1,0,0.1,0
27,1,0,1,4,0.0,1,2,2,8,1,0.8,1
37,0,0,0,5,10.0,1,3,1,3,0,0.3,0
43,0,0,0,2,7.0,1,1,1,2,1,0.2,0
32,0,0,0,5,-1.0,2,2,1,1,0,0.1,0
23,0,0,0,0,45.0,1,4,1,3,0,0.3,0
27,0,0,0,0,0.0,1,2,2,1,0,0.1,0
44,0,0,0,0,1.0,1,3,2,1,1,0.1,0
28,0,0,0,3,0.0,1,3,2,3,1,0.3,0
42,0,0,0,0,1.0,2,3,1,2,0,0.2,0
24,0,1,0,9,4.0,1,1,1,10,1,1.0,1
27,0,0,0,0,17.0,1,2,1,2,0,0.2,0
20,0,0,0,0,0.0,1,2,1,10,1,1.0,1
51,0,0,0,0,1.0,2,3,2,1,0,0.1,0
56,0,0,0,0,1.0,1,3,2,1,0,0.1,0
29,0,0,0,7,1.0,1,2,1,9,0,0.9,1
20,0,0,0,0,209.0,1,2,1,9,1,0.9,1
53,0,0,0,6,174.0,1,3,1,1,0,0.1,0
27,0,0,0,8,68.0,1,3,1,5,0,0.5,0
24,0,1,0,2,19.0,1,2,1,9,1,0.9,1
53,0,0,0,36,32.0,1,3,1,6,1,0.6,0
28,0,0,0,2,1.0,1,3,2,3,1,0.3,0
45,0,0,0,1,0.0,1,2,1,1,0,0.1,0
21,0,1,0,3,22.0,1,4,1,5,0,0.5,0
36,0,0,0,0,12.0,2,2,1,7,0,0.7,1
25,0,0,0,2,1.0,2,3,2,4,1,0.4,0
23,0,0,0,1,0.0,2,4,2,3,0,0.3,0
28,0,0,0,1,1.0,1,3,1,5,0,0.5,0
21,0,0,0,0,1.0,2,2,1,8,1,0.8,1
36,0,0,0,0,0.0,1,3,2,3,0,0.3,0
24,0,0,0,0,0.0,1,2,1,3,0,0.3,0
28,0,0,0,3,32.0,1,2,1,6,1,0.6,0
30,0,0,0,1,0.0,1,1,1,2,1,0.2,0
29,0,0,0,0,1.0,1,2,1,1,0,0.1,0
30,0,0,0,0,3.0,2,3,2,6,0,0.6,0
51,0,0,0,1,1.0,1,4,2,1,0,0.1,0
33,0,0,0,3,3.0,1,1,1,1,0,0.1,0
25,0,0,0,2,1.0,2,2,1,6,0,0.6,0
32,0,1,0,12,1.0,1,2,1,9,1,0.9,1
23,0,0,1,1,1.0,1,2,1,6,0,0.6,0
47,0,0,0,3,0.0,1,2,1,3,0,0.3,0
32,0,0,0,1,2.0,2,4,1,3,1,0.3,0
37,0,0,0,0,19.0,1,3,1,1,0,0.1,0
19,0,2,0,2,1.0,1,2,1,10,1,1.0,1
27,0,0,0,0,2.0,1,4,2,8,0,0.8,1
39,0,0,0,0,0.0,1,1,2,1,0,0.1,0
21,0,0,2,0,0.0,2,3,1,6,0,0.6,0
69,0,0,0,0,0.0,1,3,2,1,0,0.1,0
21,0,0,0,2,2.0,1,3,1,6,0,0.6,0
26,0,0,1,6,3.0,1,2,2,10,1,1.0,1
22,0,0,0,0,0.0,1,3,1,4,0,0.4,0
23,0,0,0,0,0.0,2,2,1,5,1,0.5,0
49,0,0,0,3,3.0,1,2,1,5,0,0.5,0
29,0,0,1,2,50.0,1,2,2,4,0,0.4,0
60,0,0,0,0,0.0,2,3,2,1,0,0.1,0
26,0,0,0,0,0.0,2,2,2,10,0,1.0,1
23,2,0,0,3,0.0,1,2,1,10,1,1.0,1
34,0,0,0,2,207.0,1,4,2,5,1,0.5,0
20,1,0,0,1,2.0,2,1,1,4,0,0.4,0
36,0,0,0,1,95.0,1,4,1,3,0,0.3,0
30,0,0,0,0,1.0,1,3,1,4,0,0.4,0
21,0,1,0,1,-1.0,1,2,1,3,0,0.3,0
22,0,0,0,2,0.0,1,3,2,6,1,0.6,0
57,0,0,0,18,0.0,1,2,1,8,0,0.8,1
21,0,0,0,4,219.0,1,2,1,9,1,0.9,1
21,0,0,0,0,12.0,1,2,1,5,1,0.5,0
34,0,0,0,1,0.0,1,3,2,1,0,0.1,0
50,0,0,0,1,0.0,2,3,2,1,1,0.1,0
40,0,0,0,0,8.0,1,3,1,7,1,0.7,1
25,0,0,0,7,127.0,1,2,1,8,1,0.8,1
53,0,0,0,1,0.0,2,3,2,1,0,0.1,0
24,0,0,0,0,1.0,2,2,1,4,0,0.4,0
42,0,0,0,1,4.0,1,2,1,1,0,0.1,0
28,0,0,0,1,1.0,1,2,2,3,0,0.3,0
24,0,0,0,1,36.0,1,3,2,4,0,0.4,0
26,1,1,0,6,1.0,1,2,1,8,1,0.8,1
22,0,0,0,4,260.0,1,2,1,9,1,0.9,1
21,0,0,0,3,5.0,1,3,2,7,0,0.7,1
37,0,0,0,23,17.0,1,2,1,9,1,0.9,1
35,0,0,0,2,5.0,1,2,1,5,0,0.5,0
53,0,0,0,2,0.0,1,2,1,1,0,0.1,0
60,0,0,0,1,0.0,1,2,1,1,0,0.1,0
29,0,0,0,7,1.0,1,2,1,4,0,0.4,0
48,1,0,0,23,360.0,1,3,1,8,1,0.8,1
52,0,0,0,0,0.0,2,3,2,1,0,0.1,0
27,0,0,0,12,31.0,1,2,1,8,1,0.8,1
28,0,0,0,5,51.0,1,2,1,9,0,0.9,1
33,0,0,0,3,0.0,1,3,2,3,0,0.3,0
28,0,0,0,0,2.0,2,4,1,2,0,0.2,0
47,0,0,0,5,291.0,1,3,1,10,1,1.0,1
36,0,0,0,14,0.0,1,2,1,7,1,0.7,1
29,1,0,0,2,1.0,1,2,1,5,0,0.5,0
22,0,0,1,0,21.0,1,2,2,9,1,0.9,1
26,0,0,2,6,0.0,1,2,1,7,0,0.7,1
25,0,0,0,0,0.0,1,3,1,2,0,0.2,0
68,0,0,0,2,0.0,1,3,1,1,0,0.1,0
56,0,0,0,5,12.0,1,2,1,3,0,0.3,0
27,0,0,0,9,52.0,1,2,1,8,1,0.8,1
52,0,0,0,4,7.0,1,3,1,1,1,0.1,0
32,0,0,0,3,1.0,1,2,1,2,0,0.2,0
60,0,0,0,4,1.0,1,1,1,1,0,0.1,0
23,0,0,0,1,5.0,1,4,2,3,0,0.3,0
39,0,0,0,0,0.0,2,3,2,6,0,0.6,0
56,0,0,0,0,0.0,1,3,2,1,0,0.1,0
22,0,0,0,0,0.0,2,2,1,7,0,0.7,1
27,0,0,0,1,0.0,2,2,1,2,1,0.2,0
53,0,0,0,11,110.0,1,2,1,6,0,0.6,0
25,0,0,0,0,0.0,1,3,2,2,1,0.2,0
21,0,0,0,0,0.0,1,4,2,3,0,0.3,0
22,0,0,0,0,1.0,1,3,1,3,0,0.3,0
58,0,0,0,2,1.0,2,3,2,1,0,0.1,0
31,0,0,0,7,1.0,1,2,2,3,1,0.3,0
22,0,0,0,1,0.0,1,3,1,5,1,0.5,0
28,0,0,0,8,3.0,1,2,1,6,1,0.6,0
42,0,0,0,1,2.0,1,1,1,1,0,0.1,0
20,0,0,0,0,0.0,1,2,1,7,1,0.7,1
29,0,0,0,0,5.0,1,3,2,6,1,0.6,0
29,0,0,0,8,87.0,1,2,1,10,0,1.0,1
58,0,0,0,21,59.0,1,2,2,7,1,0.7,1
22,0,0,0,3,106.0,1,2,1,7,0,0.7,1
48,0,0,0,1,0.0,1,4,2,1,1,0.1,0
37,0,0,0,0,0.0,1,3,1,4,0,0.4,0
57,0,0,0,1,25.0,1,2,1,5,1,0.5,0
27,0,0,0,3,-1.0,1,3,2,1,0,0.1,0
26,0,0,0,3,33.0,1,2,1,4,0,0.4,0
24,0,1,1,3,0.0,1,3,1,8,1,0.8,1
33,0,0,0,0,1.0,1,3,1,1,0,0.1,0
29,0,0,0,2,0.0,1,2,1,6,0,0.6,0
24,0,0,0,3,1.0,2,2,1,10,1,1.0,1
19,0,0,1,1,32.0,1,3,1,10,1,1.0,1
36,0,0,0,2,0.0,1,3,2,1,0,0.1,0
24,0,0,0,0,0.0,2,3,1,5,0,0.5,0
34,0,0,0,0,0.0,1,3,2,1,0,0.1,0
25,0,0,0,2,0.0,1,4,1,5,1,0.5,0
20,1,0,1,1,1.0,1,2,1,10,1,1.0,1
28,0,0,0,2,1.0,1,4,2,5,1,0.5,0
24,0,0,0,1,1.0,1,2,2,2,1,0.2,0
61,0,0,0,4,1.0,1,3,1,1,0,0.1,0
50,0,0,0,3,-1.0,2,2,1,2,0,0.2,0
30,0,0,0,1,4.0,1,2,2,1,0,0.1,0
38,0,0,0,5,1.0,1,2,1,3,0,0.3,0
24,0,0,0,0,0.0,1,3,2,1,0,0.1,0
45,0,0,0,16,64.0,1,2,1,2,0,0.2,0
46,0,0,0,2,9.0,2,2,1,10,1,1.0,1
41,0,0,0,0,3.0,1,3,2,1,1,0.1,0
20,0,0,1,0,22.0,1,1,1,8,1,0.8,1
27,0,0,0,13,1.0,1,2,2,8,1,0.8,1
51,0,0,0,16,66.0,2,2,1,8,0,0.8,1
26,0,0,0,1,13.0,1,2,2,6,1,0.6,0
29,0,0,0,3,1.0,1,2,1,5,1,0.5,0
52,0,0,0,6,1.0,1,3,1,5,1,0.5,0
28,0,0,0,1,4.0,1,3,1,4,1,0.4,0
34,0,0,0,4,97.0,2,5,1,7,1,0.7,1
